"author","influenced"
"Shirley Jackson","Jonathan Dordick"
"Maurice Sendak","Ursula Nordstrom"
"Dionysios Solomos","Kyriakos Charalambides"
"Herbert Spencer","Charles Sanders Peirce|Henri Bergson|Murray Rothbard|Charles Darwin|William Graham Sumner|Jack London|Émile Durkheim|Henry Sidgwick|Yan Fu|Auberon Herbert"
"Dave Meltzer","Wade Keller"
"Asaga","Sri Ponna"
"Frank O'Connor","William Keepers Maxwell, Jr."
"Robie Macauley","Ford Madox Ford|Paul Theroux"
"Jiva Goswami","Gaudiya Vaishnavism"
"Fazal Ali Qureshi","Khwaja Abdul Ghaffar Naqshbandi"
"Jan Baudouin de Courtenay","Nikolai Trubetzkoy|Prague school"
"Stephenie Meyer","Louisa May Alcott|Daphne du Maurier"
"Idris Azad","Muhammad Iqbal"
"José Martí","Henry George"
"Lysander Spooner","Frederick Douglass|Murray Rothbard|Randy Barnett|Victor Yarros"
"Mo Yan","William Faulkner"
"Plato","Western philosophy"
"Grant Allen","Henry George"
"Maximilian Voloshin","Marina Tsvetaeva"
"A. A. Milne","Joel Chandler Harris"
"Roman Jakobson","Jacques Lacan|Joseph Greenberg|Giorgio Agamben|Friedemann Schulz von Thun|Paul Ricœur|Michel Foucault|Dell Hymes|Claude Lévi-Strauss|Michael Silverstein|Roland Barthes|Nicolas Ruwet|Morris Halle"
"Nikolay Dobrolyubov","Vladimir Lenin|Maxim Gorky"
"Frithjof Bergmann","Robert C. Solomon|Anthony Weston"
"Ted Chiang","Daniel Abraham (author)"
"Jocelyn Herbert","Samuel Beckett|Laurence Olivier|Tony Harrison"
"Theodorus Gaza","Ermolao Barbaro"
"Nikolai Gogol","Alexander Pushkin|Fyodor Dostoyevsky|Konstantin Stanislavsky|Andrei Bely|José Saramago|Vladimir Nabokov|Eugene Hütz|Sholem Aleichem|Leo Tolstoy|Ivan Turgenev|William Gaddis"
"Antisthenes","Diogenes of Sinope|Stoicism|Cynicism (philosophy)|Crates of Thebes"
"Taha Hussein","Naguib Mahfouz|Tahar Ben Jelloun"
"Ernst Jünger","Oswald Spengler|Carl Schmitt|Max Stirner|Julius Evola|Alain de Benoist"
"Friedrich Nietzsche","Theodor W. Adorno"
"Sardar Fazlul Karim","Abdur Razzaq (professor)"
"Julien Offray de La Mettrie","François Picavet|Michel Onfray"
"Confucius","Chinese philosophy|Xun Kuang|François Quesnay|Ezra Pound|Neo-Confucianism|Xuanxue|Christian Wolff (philosopher)|Robert Cummings Neville|Mencius"
"Lucien Tesnière","Igor Mel'čuk"
"Dennis Lee (author)","George Grant (philosopher)"
"Selma Lagerlöf","Thomas Mayne Reid"
"Alan Moore","William S. Burroughs|William Blake|Neil Gaiman|Joss Whedon|Mark Millar|Warren Ellis|Brian Michael Bendis|Jeff Smith (cartoonist)|Damon Lindelof|Darren Aronofsky|Richard Kelly (director)|Dave Gibbons"
"Aleš Debeljak","Srečko Kosovel|Niko Grafenauer|Drago Jančar|Aleš Šteger|Uroš Zupan"
"Flannery O'Connor","William Faulkner|George Washington Harris|Simone Weil|Joel Chandler Harris|David Sedaris|John Kennedy Toole"
"Euhemerus","Cicero|Augustine of Hippo|Ennius|Eusebius|Lactantius|Arnobius|Age of Enlightenment|Cyprian|Snorri Sturluson|Marcus Terentius Varro|Marcus Minucius Felix|Sextus Empiricus|Diodorus Siculus|Philo of Byblos|Saxo Grammaticus|Church Fathers"
"Michael Huemer","Bryan Caplan"
"Edward Albee","Paula Vogel"
"Derek Walcott","Robert Lowell|Elizabeth Bishop|John Figueroa|Edward Baugh|Glyn Maxwell|Adam Kirsch"
"Christopher Klim","Robert Gover"
"Epictetus","Marcus Aurelius|James Stockdale|Albert Ellis|Arrian|Han Ryner|Junius Rusticus"
"Rex Miller","Splatterpunk"
"Wilhelm von Humboldt","John Stuart Mill|Noam Chomsky|Joxe Azurmendi|Alexander Potebnja|August Schleicher|Valentin Voloshinov"
"Gaetano Mosca","Joseph Schumpeter|Seymour Martin Lipset|C. Wright Mills|Robert Michels"
"Edward Shils","Saul Bellow"
"Srinatha","Telugu literature"
"James Fenimore Cooper","Walter Scott"
"Amjad Hyderabadi","Rahat Indori|Faiz Ahmad Faiz|Urdu|Urdu poetry"
"Camille Paglia","Erich Neumann (psychologist)|Marquis de Sade|Simone de Beauvoir|Harold Bloom"
"Brad Linaweaver","Dafydd ab Hugh"
"Karl Popper","David Deutsch|Friedrich Hayek|John Eccles (neurophysiologist)|Konrad Lorenz|Milton Friedman|Roger Penrose|Peter Munz|Paul Levinson|Dimitris Dimitrakos|Bryan Magee|Dirk Verhofstadt|Jeremy Shearmur|Ralf Dahrendorf|Helmut Schmidt|Imre Lakatos|Paul Feyerabend|Ian Jarvie|Nassim Nicholas Taleb|Ernst Gombrich|W. W. Bartley, III|David Miller (philosopher)|Hans Albert|Peter Medawar|Ernest Gellner|Joseph Agassi|George Soros"
"Marko Marulić","Petar Zoranić"
"Augustus Le Plongeon","Frank Collin|Ignatius L. Donnelly|Lewis Spence|Helena Blavatsky|James Churchward|Semir Osmanagić"
"Gangadhar V. Chittal","R. S. Mugali|Vinayaka Krishna Gokak|R. S. Mugali"
"Ben Lerner","Michael Palmer (poet)"
"Sharon Green","John Norman"
"Mike Wallace (historian)","Richard Hofstadter"
"Ann Beattie","Richard Yates (novelist)|Tao Lin|Zachary German"
"Göran Tunström","Leonard Cohen"
"James Mill","John Stuart Mill"
"Frank O'Hara","Tatyana Grosman|Vladimir Mayakovsky|Ron Padgett|Ted Berrigan|Eileen Myles|Alice Notley"
"Rachel Kushner","Don DeLillo"
"Pierre Gassendi","Gottfried Wilhelm Leibniz|John Locke|Thomas Hobbes|Walter Charleton"
"Velimir Khlebnikov","Vasily Kamensky|Vladimir Mayakovsky|Aleksei Kruchenykh|Vadim Shershenevich"
"Wallace Stegner","Ken Kesey|Thomas McGuane|George V. Higgins|Gordon Lish|Edward Abbey|Robert Stone (novelist)|Simin Daneshvar|Larry McMurtry|Wendell Berry|Ernest J. Gaines"
"Osip Mandelstam","Arkady Gornfeld|Alexander Pushkin|Mikhail Lermontov"
"John Cutting (psychiatrist)","Iain McGilchrist"
"Ion Vinea","N. D. Cocea|Urmuz"
"Diogenes of Sinope","Stoicism|Cynicism (philosophy)|Han Ryner|Wolfi Landstreicher|Michel Onfray|Crates of Thebes"
"Apollonius of Tyana","Philostratus"
"Daren Shiau","Edwin Thumboo"
"Ludwig Wittgenstein","Alan Turing|Bertrand Russell|G. E. Moore|John Searle|Gilbert Ryle|Casimir Lewy|Quentin Skinner|Jacques Bouveresse|Richard Rorty|Ian Hacking|Elizabeth Anscombe|Vienna Circle|Peter Hacker|Saul Kripke|Rudolf Carnap|Jules Vuillemin|Barry Stroud|Frank P. Ramsey|Jean-François Lyotard|John McDowell|Peter Geach|Hans Sluga|Stephen Toulmin|Cora Diamond"
"Amir Meenai","Urdu poetry"
"Gleb Uspensky","Anton Chekhov|Maxim Gorky"
"Scott Lynch","George R. R. Martin"
"Ernest Gellner","Anthony D. Smith|John A. Hall|Sinisa Malesevic|José Guilherme Merquior|Michael Mann (sociologist)"
"Max Blecher","Geo Bogza"
"John Milbank","Gillian Rose|Phillip Blond|Catherine Pickstock"
"Sergei Starostin","John Bengtson|Merritt Ruhlen"
"J. C. Hutchins","Scott Sigler"
"Diana Gabaldon","Robert Louis Stevenson|John D. MacDonald|Dorothy L. Sayers"
"Tadeusz Borowski","Imre Kertész"
"Alejo Carpentier","Richard Evans Schultes"
"Jonathan Lethem","J. G. Ballard|Robert Coover|Robert Stone (novelist)|Thomas Berger (novelist)|Don DeLillo"
"Duns Scotus","Charles Sanders Peirce|Gerard Manley Hopkins|Gilles Deleuze|René Descartes|Martin Heidegger|William of Ockham|Antonius Andreas|Mário Ferreira dos Santos"
"Nikolai Stankevich","Vissarion Belinsky|Mikhail Bakunin|Timofey Granovsky|Alexander Herzen"
"Terry Pratchett","Lloyd Alexander|Jack Vance"
"Georg Simmel","Max Weber|Barry Wellman|György Lukács|Mark Granovetter|Lewis A. Coser|Harrison White"
"Joseph de Maistre","Charles Baudelaire|Julius Evola|Karl Ludwig von Haller|Louis Gabriel Ambroise de Bonald|Carl Schmitt|Louis Veuillot|Emil Cioran|Claude Henri de Rouvroy, comte de Saint-Simon|Juan Donoso Cortés"
"Salimullah Khan","Abdur Razzaq (professor)"
"Lazăr Șăineanu","Iorgu Iordan"
"Per Wahlöö","Stieg Larsson|Henning Mankell"
"José Zorrilla","Pedro Calderón de la Barca"
"John Irving","Thomas Williams (writer)"
"Denis Johnson","Robert Stone (novelist)|Malcolm Lowry"
"Jim Dodge","Jack Kerouac"
"Ivo Urbančič","Jože Pučnik"
"Raimundo Correia","Fagundes Varela"
"Larry Brown (author)","Harry Crews|Barry Hannah"
"Nikolai Berdyaev","Aldous Huxley|Gabriel Marcel|Davor Džalto|Jacques Ellul|Richard Kroner"
"Khushwant Singh","Rajneesh"
"Henri Michaux","Stéphane Mallarmé|Comte de Lautréamont"
"Eckhart Tolle","Meister Eckhart"
"Anne Frank","Cissy van Marxveldt|Zlata Filipović"
"Leslie Scalapino","Zoketsu Norman Fischer|Lyn Hejinian|Norma Cole|Laura Moriarty (poet and novelist)|Carla Harryman|Ann Lauterbach|Stephen Ratcliffe"
"Christopher Hitchens","Richard Dawkins|Douglas Murray (author)|James Fenton|Johann Hari|Sam Harris|Martin Amis"
"Arthur Mee","Grayson Perry"
"Iris Murdoch","Elizabeth Anscombe|Simone Weil"
"Paul Theroux","Robie Macauley"
"B. S. Johnson","Brian Castro|Los Campesinos!|Jonathan Coe"
"Mark Saxton","Austin Tappan Wright"
"Vladimir Jankélévitch","Arnold Davidson"
"Jules Michelet","Giambattista Vico"
"Robert Burns","James Joyce|John Steinbeck|James Whitcomb Riley|Bob Dylan|Percy Bysshe Shelley|Frank Lebby Stanton|Samuel Taylor Coleridge|William Wordsworth|J. D. Salinger|John Greenleaf Whittier|Brontë family|John Clare"
"Averroes","Baruch Spinoza|Maimonides|Boetius of Dacia|Thomas Aquinas|Siger of Brabant"
"Charles Taylor (philosopher)","Michael Walzer|Christian Smith (sociologist)|Nikolas Kompridis|Axel Honneth|Michael J. Sandel|Ken Wilber"
"Carlos Vaz Ferreira","John Stuart Mill"
"Joy Williams (American writer)","Tao Lin|Karen Russell|Adam Haslett"
"Douglas Rushkoff","Marshall McLuhan"
"Carl Hiaasen","John D. MacDonald"
"Jack London","Herbert Spencer"
"Mitrofan Lodyzhensky","P. D. Ouspensky|Leo Tolstoy"
"Enrique Gómez Carrillo","Lorenzo Montúfar y Rivera|Miguel Ángel Asturias"
"Dušan Jovanović (theatre director)","Jože Javoršek|Rudi Šeligo"
"J. M. Coetzee","William Faulkner|Ford Madox Ford"
"Vladimir Nabokov","Gustave Flaubert|Robert Louis Stevenson|Nikolai Gogol|Alexander Pushkin|Thomas Mayne Reid|Ivan Turgenev|David Cronenberg|John Updike|Stanley Kubrick|Michael Chabon|Gene Wolfe|Oğuz Atay|Richard Rorty|Christopher Hitchens|Anthony Burgess|Thomas Pynchon|Edmund Yeo|Terence McKenna|Zadie Smith|Daniel Clowes|Javier Marías|John Banville|Victor Pelevin|Joanna Newsom|Jeffrey Eugenides|Don DeLillo|Daniel Handler|Martin Amis|Nick Cave|Jhumpa Lahiri"
"Wilhelm Busch","Robert Gernhardt|August Macke|Rudolph Dirks"
"Ivan Yefremov","Helena Roerich|Alexander Belyaev"
"Anne Sexton","Sylvia Plath|Theodore Roethke|Robert Lowell|John Berryman"
"Kage Baker","Jack Vance"
"Elio Lampridio Cerva","Plautus|Julius Pomponius Laetus"
"Robert Silverberg","Jack Vance|Roger Zelazny"
"France Balantič","Srečko Kosovel|France Prešeren|Alojz Gradnik|Josip Murn|Anton Vodnik|Jože Snoj|Taras Kermauner|Alojz Rebula|Gregor Strniša|Vladimir Truhlar"
"Kālidāsa","Indian literature|Western literature|English literature"
"Poul Anderson","Robert E. Howard|L. Sprague de Camp|Jack Vance|Michael Moorcock|Greg Bear|Gregory Benford"
"Harper Lee","William Faulkner|Truman Capote"
"Naoya Shiga","Kazuo Hirotsu"
"Gustav Falke","Paul Heyse|Detlev von Liliencron|Richard Dehmel"
"Evelyn Waugh","Ronald Firbank"
"Stan Barstow","Sid Chaplin"
"Erico Verissimo","Letícia Wierzchowski"
"Dean Koontz","Robert A. Heinlein|John D. MacDonald|Jack Vance|Ted Dekker|Bentley Little|Jeaniene Frost"
"Ludwig Thoma","Ludwig Ganghofer"
"Farrukh Ahmad","Bangladesh|Islamic revival"
"Jack Vance","Edward Plunkett, 18th Baron of Dunsany|Dan Simmons|Dean Koontz|Frank Herbert|George R. R. Martin|Michael Moorcock|Neil Gaiman|Poul Anderson|Michael Chabon|Gene Wolfe|Terry Dowling|Kage Baker|Robin Hobb|Terry Pratchett|Roger Zelazny|Ursula K. Le Guin|Gardner Dozois|Robert Silverberg|Jeff VanderMeer"
"Kurt Vonnegut","James Thurber|William March|Theodore Sturgeon|Louis-Ferdinand Céline"
"Lawrence Durrell","Meary James Thurairajah Tambimuttu|Dylan Thomas|M. G. Vassanji|Roger Zelazny|Thomas Pynchon|Julio Cortázar|David Gascoyne|Susan Swan"
"Antoni Słonimski","Antoni Lange"
"Gene Wolfe","Robert Aickman|R. A. Lafferty|Jack Vance|Vladimir Nabokov|Neil Gaiman|Michael Swanwick|China Miéville"
"Arkady Gornfeld","Osip Mandelstam"
"Gary Snyder","Robinson Jeffers|Jack Kerouac"
"David Hume","A. J. Ayer|Adam Smith|Albert Einstein|Arthur Schopenhauer|Benjamin Franklin|Bertrand Russell|Edmund Husserl|Gilles Deleuze|Immanuel Kant|James Madison|John Stuart Mill|Karl Popper|Noam Chomsky|Jerry Fodor|Thomas Jefferson|Ernst Mach|Alexander Hamilton|Thomas Reid|J. L. Mackie|Steven Weinberg|Simon Blackburn|William James|Baron d'Holbach"
"Robert Bly","Theodore Roethke|James Wright (poet)|Coleman Barks|Tom Hennen"
"Martin Buber","Abraham Joshua Heschel|Fritz Perls|Franz Rosenzweig|Walter Kaufmann (philosopher)|Gabriel Marcel|Hans Urs von Balthasar|Laura Perls|John Berger"
"David Foster Wallace","Robert Coover|Lydia Davis|David Markson|Donald Barthelme|Jean Baudrillard|Julio Cortázar|Joseph McElroy|Don DeLillo|William Gaddis"
"Edgar Rice Burroughs","H. Rider Haggard|Carl Sagan|James Cameron|Michael Moorcock|Ray Bradbury|Robert E. Howard|Robert A. Heinlein|Otis Adelbert Kline|Edmond Hamilton|Leigh Brackett|A. Merritt|Lin Carter|John Norman|Philip José Farmer|Arthur C. Clarke"
"Andy Breckman","Don McLean"
"R. A. Lafferty","Neil Gaiman|Gene Wolfe|Ray Vukcevich|Terry Bisson"
"Coleman Barks","Robert Bly"
"Louis Aragon","Maurice Barrès"
"Jules Barbey d'Aurevilly","Marcel Proust|Joris-Karl Huysmans|Henry James"
"Curtis Yarvin","Ross Douthat|Nick Land"
"Bas van Fraassen","Michael C. Rea|Nancy Cartwright (philosopher)|Elisabeth Lloyd|Arthur Fine|Alvin Plantinga"
"George MacDonald","Friedrich de la Motte Fouqué|Novalis|C. S. Lewis|G. K. Chesterton|J. R. R. Tolkien|W. H. Auden|Madeleine L'Engle|David Lindsay (novelist)|Mark Twain"
"John B. Cobb","David Ray Griffin|C. Robert Mesle|Michel Weber|Monica Coleman|Roland Faber|Bruce G. Epperly"
"Tatsuko Hoshino","Kyoshi Takahama"
"Letícia Wierzchowski","Erico Verissimo"
"Robert Jordan","John M. Ford"
"Karl Marx","List of Marxists"
"Mikhail Lermontov","Alexander Pushkin|Boris Pasternak|Fyodor Dostoyevsky|James Joyce|Ivan Bunin|Alexander Blok|Sergei Yesenin|Anna Akhmatova|Osip Mandelstam|Ivan Turgenev"
"René Guénon","Julius Evola|Huston Smith|Michel Valsan|Marco Pallis|Frithjof Schuon|Mircea Eliade|Ananda Coomaraswamy"
"Harry Crews","Larry Brown (author)"
"Thales","Anaximander|Anaximenes of Miletus|Pythagoras"
"Gala Galaction","Tudor Arghezi"
"Jeffrey Eugenides","Vladimir Nabokov"
"John Zerzan","Species Traitor|Green Anarchy|1999 Seattle WTO protests"
"M. Mukundan","M. T. Vasudevan Nair"
"Wiebe Bijker","Sally Wyatt"
"Mallinātha Sūri","Telugu literature"
"Fulvio Tomizza","Ivan Cankar|Scipio Slataper|Claudio Magris"
"David Eddings","Edward Plunkett, 18th Baron of Dunsany|Christopher Paolini"
"Thomas Paine","Abraham Lincoln|Bertrand Russell|Mary Wollstonecraft|Jyotirao Phule|Thomas Jefferson|Christopher Hitchens|Thomas Edison|William Godwin|Moncure D. Conway|Robert G. Ingersoll|Pierre Victurnien Vergniaud"
"George Chapman","Ovid"
"Wilfred Talbot Smith","Jack Parsons (rocket engineer)"
"Josef Hora","Karel Hynek Mácha"
"Stefan Grabiński","Antoni Lange"
"Dragotin Kette","France Prešeren|Srečko Kosovel|Miran Jarc|Alojz Rebula|Janez Menart|Alojz Gradnik|Kajetan Kovič|Ivan Cankar|Josip Murn|Ciril Zlobec|Oton Župančič|Ivan Minatti"
"Antun Knežević","Ivan Franjo Jukić"
"Hazrat Babajan","Meher Baba"
"Michael Walzer","Amy Gutmann|Michael W. Doyle|Jean Bethke Elshtain|Michael J. Sandel"
"Rudolf Steiner","Albert Schweitzer|Saul Bellow|Richard Tarnas|Andrei Bely|Valentin Tomberg|Wassily Kandinsky|Édouard Schuré|Hugo Bergmann|Owen Barfield|Daniel Nicol Dunlop|Martin Buber|Joseph Beuys"
"Hristo Botev","Alexander Pushkin"
"Marjan Rožanc","Vitomil Zupan|Dominik Smole|Scipio Slataper|France Bevk|Taras Kermauner"
"Carlo Dossi","Giuseppe Rovani|Carlo Emilio Gadda|Alberto Arbasino"
"Antoni Lange","Leconte de Lisle|Antoni Malczewski|Tadeusz Miciński|Jerzy Żuławski|Stefan Grabiński|Leopold Staff|Mieczysław Smolarski|Bolesław Leśmian|Antoni Słonimski|Stanisław Baliński"
"Peter G. Ossorio","Wynn Schwartz"
"Jacob Cats","Constantijn Huygens"
"Horace Romano Harré","Jonathan Smith (psychologist)|Roy Bhaskar|Patrick Baert"
"Ali-Shir Nava'i","Nizami Ganjavi"
"Frank Herbert","Jack Vance"
"John Davidson (poet)","T. S. Eliot"
"José Saramago","Fernando Pessoa|Miguel de Cervantes|Nikolai Gogol|Michel de Montaigne"
"Minette Walters","Ruth Rendell"
"Iain Hamilton Grant","Mark Fisher"
"James Kelman","Edwin Morgan (poet)"
"Michel Foucault","Edward Said"
"Mary Shelley","William Godwin|Jean-Baptiste Benoît Eyriès|Clara Reeve"
"Joan Salvat-Papasseit","Josep Palau i Fabre|Ovidi Montllor|Joan Manuel Serrat"
"Colum McCann","Don DeLillo"
"Joe Haldeman","Roger Zelazny"
"Ion Creangă","Victor Eftimiu|Horia Gârbea|Constantin S. Nicolăescu-Plopșor|Constantin Sandu-Aldea|Elena Farago|Ion Iovescu|Nicolae Constantin Batzaria|Grigore Vieru|I. Dragoslav|Șerban Foarță|Mircea Nedelciu|Ion Călugăru|I. I. Mironescu|Vlad Ioviță"
"José Carlos Mariátegui","Javier Mariátegui|Che Guevara|Gustavo Gutiérrez"
"Lord Byron","Jean-Baptiste Benoît Eyriès|George Crabbe"
"Franz Bopp","Max Müller|August Schleicher|Michel Bréal"
"Harold Joachim","T. S. Eliot"
"Lydia Davis","Tao Lin|Dave Eggers|David Foster Wallace|Jonathan Franzen"
"Tomonaga Sanjūrō","Kuniyoshi Obara"
"Ahmad Shamloo","Hushang Irani"
"Guillaume Faye","Alain de Benoist"
"Shirley Corriher","Harold McGee"
"David Mitchell (author)","Don DeLillo"
"Jean Cavaillès","Georges Canguilhem"
"Sibawayh","Niftawayh|Abu Turab al-Zahiri"
"John Norman","Edgar Rice Burroughs|Janet Morris|Sharon Green"
"Cleanthes","Chrysippus|Sphaerus"
"Yahya ibn Ma'in","Ibrahim ibn Ya'qub al-Juzajani|Dawud al-Zahiri|Muhammad al-Bukhari"
"Ved Pratap Vaidik","Dayananda Saraswati|Ram Manohar Lohia"
"Ion Heliade Rădulescu","Ion Luca Caragiale|Mihai Eminescu|Alexandru Macedonski"
"David Anthony Durham","George R. R. Martin"
"Wilfrid Sellars","Daniel Dennett|Paul Churchland|Robert Brandom|Richard Rorty|Bas van Fraassen|Ray Brassier|Ruth Millikan|John McDowell|Jay Rosenberg"
"Ed Subitzky","Lynda Barry"
"Frederic Manning","Ernest Hemingway|Ezra Pound|T. E. Lawrence"
"Count Franz Pocci","George Sand|Charles Perrault"
"Nund Rishi","Mir Sayyid Ali Hamadani"
"Angus Donald","Bernard Cornwell"
"Philodemus","Horace|Virgil"
"Kazuo Hirotsu","Naoya Shiga"
"Michael J. Sandel","Richard David Precht"
"Mahjoor","Abdul Ahad Azad|Dinanath Nadim"
"H. Rider Haggard","Robert Louis Stevenson|C. S. Lewis|Edgar Rice Burroughs|George Lucas|J. R. R. Tolkien|Joseph Conrad|Robert E. Howard|Rudyard Kipling|Carl Jung|Henry Miller"
"John Berger","Martin Buber"
"Anders Chydenius","Johan Norberg|Liberalism and centrism in Sweden"
"Sașa Pană","Urmuz"
"Arthur Frommer","Rick Steves|Lonely Planet"
"Eric de Kuyper","Algirdas Julien Greimas"
"Olaf Stapledon","Brian Aldiss|Stanisław Lem|Doris Lessing|Arthur C. Clarke"
"Mark Richard","Chuck Palahniuk"
"Eugène Minkowski","Maurice Merleau-Ponty|R. D. Laing"
"Jaime Sáenz","Blanca Wiethüchter"
"William H. Gass","Gustave Flaubert|Robert Coover|William Gaddis"
"Kate Chopin","Guy de Maupassant"
"Harry Oliver","German Expressionism"
"Franz Brentano","Edmund Husserl|Rudolf Steiner|Sigmund Freud|Kazimierz Twardowski|Alexius Meinong|Martin Heidegger|Christian von Ehrenfels|Tomáš Garrigue Masaryk"
"Raymond Chandler","Coen brothers|Paul Auster|Quentin Tarantino|Michael Chabon|Ross Macdonald|Haruki Murakami|Peter Spiegelman|Michael Connelly|John Shannon (novelist)|Kelli Stanley|Roberto Bolaño|Robert B. Parker|Colin Bateman|Robert Crais|Mark Knopfler"
"Harry Frankfurt","J. David Velleman|Susan R. Wolf"
"Alexandru Macedonski","Pantazi Ghica|Ion Heliade Rădulescu"
"Arthur A. Cohen","Thomas J. J. Altizer"
"David Weber","C. S. Forester|Anne McCaffrey"
"Hans Reichenbach","Vienna Circle|Berlin Circle"
"Steven Brust","Roger Zelazny"
"Brian McNaughton","Robert E. Howard"
"Mario Vargas Llosa","Gustave Flaubert|José Ortega y Gasset"
"Carlos Pezoa Véliz","Nicanor Parra|Gonzalo Rojas"
"Ed McBain","T. H. White"
"William Trevor","Roger Angell"
"Beatrice Hastings","Katherine Mansfield"
"Giorgos Seferis","Kyriakos Charalambides"
"Alain Badiou","Quentin Meillassoux|Justin Clemens|Alberto Toscano|Oliver Feltham|Jason Barker|Ray Brassier|Peter Hallward|Simon Critchley|Slavoj Žižek|Sylvain Lazarus|Tristan Garcia"
"James Macpherson","W. B. Yeats|Johann Wolfgang von Goethe|Hart Crane"
"Nicholas Wolterstorff","Kendall Walton"
"Hart Crane","James Macpherson|Harry Crosby|Tennessee Williams|Robert Lowell|John Berryman|Harold Bloom"
"Fran Lebowitz","Dorothy Parker|James Thurber"
"Baltasar Gracián","Arthur Schopenhauer|Friedrich Nietzsche"
"Justus Buchler","Christopher Phillips|Robert S. Corrington|Stephen David Ross"
"William Cobbett","G. K. Chesterton"
"Chad Oliver","Bruce Sterling|Lewis Shiner|Howard Waldrop"
"Angelos Sikelianos","Ion Dragoumis"
"Sigmund Ringeck","Joachim Meyer"
"Ilan Stavans","Margo Glantz|Octavio Paz"
"Albert Camus","Michel Onfray"
"Richard Yates (novelist)","William Styron|Michael Chabon|William Styron|Tobias Wolff|Tao Lin|Stewart O'Nan|Ann Beattie|Robert Stone (novelist)|Raymond Carver|Andre Dubus|Jhumpa Lahiri|Richard Ford"
"John Wycliffe","Jan Hus"
"Everett Rogers","Gabriel Tarde"
"Johann Gottfried Herder","Franz Boas|Georg Wilhelm Friedrich Hegel|Johann Wolfgang von Goethe|Ľudovít Štúr"
"João de Lemos","Alexandre Herculano|Camilo Castelo Branco"
"Walter Scott","George Crabbe|Charles Dickens|George Eliot|Robert Louis Stevenson|Sheridan Le Fanu|John Banim|George Payne Rainsford James|Elizabeth Gaskell|Honoré de Balzac|Victor Hugo|N. D. Wilson|Arthur Conan Doyle|James Fenimore Cooper|James Hogg|Brontë family"
"Paul Ricœur","Jacques Derrida|John D. Caputo|Michel Henry"
"Stanisław Ignacy Witkiewicz","Giannina Braschi"
"Edward Gordon Craig","Isadora Duncan|Isadora Duncan|Peter Brook"
"Muhammad Sirajuddin Naqshbandi","Muhammad Tahir|Fazal Ali Qureshi"
"Alexandre Herculano","Almeida Garrett|António Augusto Soares de Passos|António Feliciano de Castilho|João de Lemos"
"Antonio Machado","José Ortega y Gasset|Gustavo Adolfo Bécquer|Octavio Paz|Giannina Braschi"
"John William Polidori","Jean-Baptiste Benoît Eyriès|Bram Stoker"
"Auguste Comte","Friedrich Nietzsche|John Stuart Mill|Karl Marx|Émile Durkheim|Charles Maurras|Harriet Martineau|Herbert Spencer|Pierre Laffitte|Eugen Dühring|Émile Littré"
"Hamza Makhdoom","Mir Sayyid Ali Hamadani|Jalaluddin Surkh-Posh Bukhari"
"Scott Westerfeld","William Gibson"
"Mahmoud Mehrmohammadi","Elliot Eisner|Joseph Schwab"
"Émile Zola","Gustave Flaubert|Stendhal"
"Stan Cross","Jim Russell (cartoonist)"
"Rabindranath Tagore","Pramatha Chaudhuri"
"Gaston Leroux","Fortuné du Boisgobey"
"Francis Parker Yockey","Oswald Spengler|Julius Evola|James H. Madole|H. Keith Thompson|Willis Carto|Norman Lowell"
"Veno Taufer","Dane Zajc|Dominik Smole|Svetlana Makarovič|Rudi Šeligo|Tomaž Šalamun|Niko Grafenauer|Gregor Strniša|Drago Jančar"
"Alexius Meinong","Bertrand Russell|Graham Priest|Ernst Mally|Terence Parsons|Richard Hönigswald|Héctor-Neri Castañeda|Roderick Chisholm|Panayot Butchvarov|Edward N. Zalta"
"Terry Bisson","R. A. Lafferty"
"Theodor Storm","Ivan Turgenev"
"Helen Keller","Henry George"
"Gottlob Frege","Bertrand Russell|Edmund Husserl|Giuseppe Peano|Ludwig Wittgenstein|Rudolf Carnap|Michael Dummett|Analytic philosophy|Gershom Scholem"
"M. T. Vasudevan Nair","M. Mukundan"
"Ernest Nagel","Douglas Hofstadter|Patrick Suppes|Mario Bunge"
"Ahmad Nadeem Qasmi","Urdu literature"
"Romain Rolland","Grigol Robakidze"
"Iain Banks","Brian Aldiss|Dan Simmons|Robert A. Heinlein|M. John Harrison|Alasdair Gray|Arthur C. Clarke|Ken MacLeod"
"Wlad Godzich","Hans Ulrich Gumbrecht|Theodor W. Adorno|Jean-François Lyotard|Paul de Man"
"Carol Shields","Margaret Laurence"
"Fernão Lopes de Castanheda","Diogo de Couto|Luís de Camões"
"Elie Wiesel","François Mauriac"
"George Saunders","Karen Russell"
"Vera Kamsha","Nick Perumov"
"Saul Bellow","Rudolf Steiner|Stendhal|Owen Barfield|Edward Shils"
"Denis Fahey","Edward Cahill"
"Andrija Kačić Miošić","Ivan Kukuljević Sakcinski|Jovan Sterija Popović"
"László Németh","Attila József"
"Erich Maria Remarque","Henri Barbusse|William March|Väinö Linna"
"Herbert Asbury","Gangs of New York"
"David A. Hargrave","Roger Zelazny"
"Kir Bulychev","Alexander Belyaev"
"J. D. Salinger","William Keepers Maxwell, Jr.|Robert Burns|Sherwood Anderson"
