"author","influenced"
"Aldous Huxley","Julian Huxley|D. H. Lawrence|Thomas Henry Huxley|William Blake|Yevgeny Zamyatin|Nikolai Berdyaev"
"Sarah Kane","Harold Pinter"
"Saint-Pol-Roux","Surrealism"
"Philippe Djian","Richard Brautigan"
"Harold Arthur Prichard","John Rawls|W. D. Ross|H. H. Price"
"Elizabeth Gaskell","Walter Scott"
"E. Hoffmann Price","Talbot Mundy"
"Charles Hartshorne","David Ray Griffin|John B. Cobb"
"Jean-Paul Sartre","Albert Camus|Gilles Deleuze|Maurice Merleau-Ponty|Txillardegi|Che Guevara|R. D. Laing|Raymond Aron|Frantz Fanon|Simone de Beauvoir|Alain Badiou"
"Cissy van Marxveldt","Anne Frank"
"Herbert Read","William Godwin|Max Stirner"
"Sarah Waters","Jeanette Winterson"
"Niccolò Machiavelli","Baruch Spinoza|David Hume|Denis Diderot|Edward Gibbon|Francis Bacon|Friedrich Nietzsche|Jean-Jacques Rousseau|Vincenzo Cuoco|Vilfredo Pareto|Giambattista Vico|Louis Althusser|Realism (international relations)|Antonio Gramsci|Thomas Hobbes|Philip Pettit|Kenneth Waltz|Carl Schmitt|Thomas Schelling|Antonio Negri|James Harrington (author)|Giulio Andreotti|John Adams"
"George Campbell (minister)","Rhetoric"
"Nikolai Leskov","Alexander Pushkin|Anton Chekhov|Yevgeny Zamyatin|Aleksey Remizov|Mikhail Zoshchenko"
"Pramatha Chaudhuri","Rabindranath Tagore"
"Étienne Souriau","Isabelle Stengers|Bruno Latour"
"Svetlana Makarovič","Dane Zajc|Veno Taufer|Gregor Strniša"
"Philo","Early Christianity"
"Julian Barnes","Gustave Flaubert|Ford Madox Ford"
"A. E. Stallings","Richard Wilbur"
"Pier Alessandro Paravia","Silvio Pellico"
"Philitas of Cos","Callimachus|Theocritus|Propertius|Longus|Hermesianax|Apollonius of Rhodes"
"Binet-Valmer","André Gide|Marcel Proust|Georges Simenon"
"Enid Blyton","Joel Chandler Harris"
"Pierre Hadot","Michel Foucault|Arnold Davidson|Wayne Hankey"
"Ludwig Ganghofer","Ludwig Thoma|Hugo von Hofmannsthal"
"Guillermo Sheridan","Margo Glantz|Octavio Paz"
"Samuel Alexander","John Anderson (philosopher)|Alfred North Whitehead"
"Philadelpho Menezes","Experimental literature"
"Duiliu Zamfirescu","N. Petrașcu"
"Charles Maurras","Charles de Gaulle|Jacques Maritain|Pierre Boutang|Philippe Pétain"
"Arthur Schopenhauer","Samuel Beckett"
"Arthur Rimbaud","Paul Verlaine|Leconte de Lisle|Allen Ginsberg|Dylan Thomas|Jack Kerouac|Patti Smith|Jim Morrison|Richey Edwards|Pier Paolo Pasolini|Bob Dylan|William S. Burroughs|Bob Kaufman|J. Slauerhoff|Louis-Ferdinand Céline|Henry Miller"
"Ibn Maḍāʾ","Abu Hayyan al-Gharnati"
"Mircea Nedelciu","Mateiu Caragiale|Ion Creangă|Andrei Bodiu|Dan Lungu|Lucian Dan Teodorovici|Sorin Stoica"
"Martha Albertson Fineman","Nancy Fraser"
"T. K. Seung","Jack Balkin"
"Fritz Leiber","Robert E. Howard|Talbot Mundy"
"Carlos Fuentes","Stendhal|Margo Glantz|Octavio Paz|Juan Rulfo"
"Husain Ahmad Madani","Jamiat Ulema-e-Hind"
"Shibli Nomani","Mahatma Gandhi|Abul Kalam Azad|Amin Ahsan Islahi|Sulaiman Nadvi|Hamiduddin Farahi|Javed Ahmad Ghamidi"
"Per Petterson","Raymond Carver"
"Constantine P. Cavafy","Kyriakos Charalambides|James Merrill|W. H. Auden"
"Étienne de La Boétie","Murray Rothbard|Raoul Vaneigem|Saul Newman|Lew Rockwell|John Holloway (sociologist)|Rudolf Rocker"
"Josip Stritar","France Prešeren"
"Monica Furlong","Alan Watts"
"Andrei Voznesensky","W. H. Auden"
"Morag Joss","P. D. James"
"Jonathan Dancy","Constantine Sandis"
"Pyrrho","David Hume|Epicurus|Crates of Athens|Sextus Empiricus|Timon of Phlius|Carneades|Aenesidemus|Arcesilaus"
"Biagio Marin","Scipio Slataper|Luigi Dallapiccola"
"Al-Kindi","Isaac Israeli ben Solomon|Ahmad ibn al-Tayyib al-Sarakhsi|Miskawayh|Abu Ma'shar al-Balkhi|Abu Zayd al-Balkhi|Robert Grosseteste"
"Iain Morris","Armando Iannucci"
