"author","influencedby"
"Martin Edwards (author)","Ruth Rendell"
"Nikolas Kompridis","Stanley Cavell|Charles Taylor (philosopher)|Cornelius Castoriadis"
"Michael Moorcock","Edgar Rice Burroughs|Edward Plunkett, 18th Baron of Dunsany|J. G. Ballard|Poul Anderson|Robert E. Howard|Jack Vance|Leigh Brackett|T. H. White"
"Alexander McCall Smith","R. K. Narayan|E. F. Benson"
"Protagoras","Zeno of Elea"
"Dimitri Kitsikis","Halford Mackinder"
"Nicolae Constantin Batzaria","Ion Creangă"
"Ferdinand de Saussure","August Leskien"
"Anthony Collins","John Locke"
"Ľudovít Štúr","Johann Gottfried Herder"
"John Locke","Francis Bacon|René Descartes|Writings of Cicero|Algernon Sidney|Thomas Sydenham|Pierre Gassendi|Hugo Grotius|John Selden"
"Boethius","Porphyry (philosopher)|Plotinus"
"Terry Dowling","Jack Vance"
"Muhamad Salih Dilan","Nalî"
"Claude Lévi-Strauss","Ferdinand de Saussure|Roman Jakobson|Marcel Mauss|Émile Durkheim|Alfred Radcliffe-Brown"
"Rudolf Carnap","Edmund Husserl|Ludwig Wittgenstein|Gottlob Frege|Alfred Tarski"
"Comte de Lautréamont","Adam Mickiewicz"
"Helen Longino","Peter Achinstein"
"Caroline Myss","Elisabeth Kübler-Ross"
"Emil Fackenheim","Georg Wilhelm Friedrich Hegel|Friedrich Wilhelm Joseph Schelling"
"André Glucksmann","Emmanuel Levinas|Raymond Aron"
"Walter Wink","William Stringfellow"
"Qadi Thanaullah Panipati","Mirza Mazhar Jan-e-Janaan"
"Clayton Rawson","John Dickson Carr"
"Thomas Bernhard","Witold Gombrowicz|Novalis"
"Jan Mukařovský","Ferdinand de Saussure"
"Denise Levertov","William Carlos Williams"
"Juan Donoso Cortés","Louis Gabriel Ambroise de Bonald|Joseph de Maistre"
"George Santayana","Baruch Spinoza|Democritus|William James"
"Abdurrahman Sharafkandi","Riza Talabani|Nalî|Ahmad Khani"
"Wolfgang Smith","Alfred North Whitehead"
"Paul Kurtz","Sidney Hook"
"John Jakes","Robert E. Howard"
"José-Maria de Heredia","Leconte de Lisle"
"Ross Macdonald","Raymond Chandler"
"Rudi Šeligo","Dane Zajc|Veno Taufer|Dominik Smole|Gregor Strniša"
"Allan Bloom","Jean-Jacques Rousseau|Alexandre Kojève|Leo Strauss"
"Dallas Willard","Edmund Husserl"
"Edvard Hoem","Henrik Wergeland"
"Mortimer J. Adler","Jacques Maritain"
"C. L. Moore","Robert E. Howard"
"Michael Martin (philosopher)","J. L. Mackie"
"Josip Murn","France Prešeren|Dragotin Kette"
"Mantarō Kubota","Masao Kume"
"Ștefan Baciu","Urmuz|Păstorel Teodoreanu"
"Michel Houellebecq","Raël|Bret Easton Ellis|Louis-Ferdinand Céline"
"Allen Ginsberg","Arthur Rimbaud|William Carlos Williams|William S. Burroughs|Mark Van Doren|Richard Evans Schultes|Kenneth Patchen"
"Eileen Myles","Frank O'Hara"
"Ivan Soll","Walter Kaufmann (philosopher)"
"John MacLachlan Gray","William Gibson"
"Chuck Palahniuk","Ken Kesey|Mark Richard|Amy Hempel|Bret Easton Ellis|Don DeLillo"
"Cory Doctorow","William Gibson"
"Adam Ferguson","William Cleghorn"
"Nikos Kazantzakis","Ion Dragoumis|Grigol Robakidze"
"John Henry Mackay","Benjamin Tucker|Max Stirner"
"Avital Ronell","Emmanuel Levinas|Hélène Cixous|Pierre Alféri"
"F. H. Bradley","Georg Wilhelm Friedrich Hegel|Christoph von Sigwart|Thomas Hill Green"
"John Cooper Clarke","Roger McGough"
"Lev Shestov","Søren Kierkegaard"
"Vissarion Belinsky","Nikolai Stankevich"
"Jonathan Rosenbaum","Manny Farber"
"Abdel Rahman Badawi","Alexandre Koyré"
"Jerry Fodor","David Hume|Nelson Goodman|Hilary Putnam"
"Sergiu Dan","Urmuz"
"Alain de Benoist","Ernst Jünger|Julius Evola|Vilfredo Pareto|Carl Schmitt|Georges Dumézil|José Ortega y Gasset"
"Bob Shacochis","Barry Hannah"
"Christopher Priest (novelist)","J. G. Ballard"
"Jean Toomer","George Gurdjieff"
"Zeno of Elea","Parmenides"
"Mavis Gallant","William Keepers Maxwell, Jr."
"Jean Baudrillard","J. G. Ballard|Marshall McLuhan|Cornelius Castoriadis"
"Arthur Conan Doyle","Robert Louis Stevenson|Walter Scott|Fortuné du Boisgobey|William Crawford Honeyman"
"David Ray Griffin","Alfred North Whitehead|John B. Cobb|Charles Hartshorne"
"Renzo Novatore","Georges Palante|Max Stirner"
"Ivan Minatti","Dragotin Kette"
"Henry Miller","Knut Hamsun|Oswald Spengler|Arthur Rimbaud|August Strindberg|François Rabelais|H. Rider Haggard|Louis-Ferdinand Céline|Otto Rank"
"Anna-Teresa Tymieniecka","Roman Ingarden"
"John Searle","Ludwig Wittgenstein|Noam Chomsky|Gilbert Ryle|P. F. Strawson|J. L. Austin"
"Carol Bowman","Roger Woolger"
"Michele Marsonet","Nicholas Rescher"
"John Pentland Mahaffy","Kuno Fischer"
"Pacho O'Donnell","José María Rosa"
"Pramoedya Ananta Toer","Tan Malaka"
"W. Somerset Maugham","Guy de Maupassant"
"Tom Wolfe","Jack Kerouac|Ken Kesey"
"Iordan Chimet","Constant Tonegaru|Urmuz"
"Arthur M. Schlesinger, Jr.","Richard Hofstadter"
"Paul Heyse","Gustav Falke"
"Dave Eggers","Lydia Davis|Robert Coover|Donald Barthelme"
"John Banim","Walter Scott"
"Tatsuji Miyoshi","Motojirō Kajii"
"Emer de Vattel","Christian Wolff (philosopher)"
"Scott Sigler","Carlo Wolff"
"Dieter Henrich","Hans-Georg Gadamer|Johann Gottlieb Fichte"
"John Shannon (novelist)","Raymond Chandler|Robert Stone (novelist)"
"Jack Williamson","A. Merritt"
"Tony Harrison","Jocelyn Herbert"
"C. N. Sreekantan Nair","C. V. Raman Pillai"
"Georg Wilhelm Friedrich Hegel","Montesquieu|Baruch Spinoza|Gottfried Wilhelm Leibniz|Heraclitus|Immanuel Kant|Jean-Jacques Rousseau|Johann Gottlieb Fichte|Friedrich Hölderlin|John Scotus Eriugena|Jakob Böhme|Friedrich Heinrich Jacobi|Giambattista Vico|Friedrich Wilhelm Joseph Schelling|Johann Wolfgang von Goethe|Johann Gottfried Herder|Sextus Empiricus|Johann Georg Hamann"
"Johann Wolfgang von Goethe","Baruch Spinoza|Denis Diderot|Jean-Jacques Rousseau|Pedro Calderón de la Barca|Friedrich Wilhelm Joseph Schelling|James Macpherson|Johann Gottfried Herder|Lucian|Johann Georg Hamann|Johann Joachim Winckelmann"
"Hélène Cixous","Clarice Lispector"
"Hermann Hesse","Knut Hamsun|Friedrich Hölderlin|Julius Evola|Carl Jung|Jens Peter Jacobsen|Johann Wolfgang von Goethe|Novalis"
"Caterina Albert","Narcís Oller"
"Roger Zelazny","Jack Vance|Lawrence Durrell"
"Charles Baudelaire","Ovid|Joseph de Maistre"
"Pierre de Ronsard","Horace"
"David Chalmers","René Descartes"
"Paul Verlaine","Stéphane Mallarmé|Leconte de Lisle"
"A. L. Kennedy","Edwin Morgan (poet)|Alasdair Gray"
"Stanley Cavell","Nelson Goodman|Henry David Thoreau|J. L. Austin"
"Tahar Ben Jelloun","Taha Hussein"
"Nicolas Malebranche","René Descartes"
"Peter Hacker","Georg Henrik von Wright|Ludwig Wittgenstein"
"John Varley (author)","Robert A. Heinlein"
"Carolyn Kizer","Theodore Roethke"
"Thomas Pogge","Immanuel Kant|John Rawls"
"Pierre Bourdieu","Georges Canguilhem|P. F. Strawson|Émile Durkheim|Claude Lévi-Strauss|Norbert Elias"
"George Eliot","Baruch Spinoza|Walter Scott|Charles Bray"
"Sarah Pinborough","Carlo Wolff"
"Jonathan Safran Foer","Joyce Carol Oates"
"Simone de Beauvoir","Georg Wilhelm Friedrich Hegel|Jean-Paul Sartre|Søren Kierkegaard|Humayun Azad|Avijit Roy|Marquis de Sade"
"Mark Doty","James Merrill|Robert Lowell"
"Karen Russell","George Saunders|Joy Williams (American writer)"
"Michael Cunningham","Virginia Woolf"
"Gordon Lish","Wallace Stegner"
"Rémi Brague","Leo Strauss"
"Arthur Drews","Plotinus|Bruno Bauer|Karl Robert Eduard von Hartmann"
"Algernon Charles Swinburne","Edmund John"
"Giosuè Carducci","Ugo Foscolo|Giacomo Leopardi"
"Antony Flew","Richard Swinburne"
"Gabriel Marcel","Edmund Husserl|Søren Kierkegaard|Josiah Royce|Nikolai Berdyaev|François Mauriac|Martin Buber"
"Witold Gombrowicz","Bruno Schulz"
"Vittorio Hösle","Hans Jonas|Giambattista Vico|Karl-Otto Apel"
"John Kennedy Toole","Flannery O'Connor"
"J. R. R. Tolkien","Edward Plunkett, 18th Baron of Dunsany|George MacDonald|Owen Barfield|H. Rider Haggard"
"Panaetius","Zeno of Citium"
"Yanka Kupala","Adam Mickiewicz"
"Aleksandr Solzhenitsyn","Alexander Pushkin|Andrey Dikiy"
"Oliver La Farge","Angie Debo"
"Bolesław Leśmian","Antoni Lange"
"János Pilinszky","Attila József|Simone Weil"
"Jean-Jacques Rousseau","Montesquieu|John Locke|Niccolò Machiavelli|Michel de Montaigne|Étienne Bonnot de Condillac|Hugo Grotius|Samuel Richardson"
"Robert Louis Stevenson","Guy de Maupassant|Walter Scott"
"Anne-Marie Baiynd","Brian Shannon"
"Democritus","Anaximander|Leucippus"
"Jan Hus","John Wycliffe"
"William Lane Craig","Milič Čapek|Richard Swinburne|Alvin Plantinga"
"Richard A. Lupoff","Robert E. Howard"
"Orhan Pamuk","Italo Calvino|Kazi Nazrul Islam|Thomas Bernhard|Oğuz Atay|Reşat Ekrem Koçu|Thomas Mann|Ahmet Hamdi Tanpınar"
"Benjamin Zephaniah","Roger McGough"
"Amanda Filipacchi","Italo Calvino|Brian O'Nolan|Donald Barthelme"
"Percy Bysshe Shelley","Adam Weishaupt|Pedro Calderón de la Barca|Ovid|William Godwin|Robert Burns|Jean-Baptiste Benoît Eyriès"
"William Gibson","William S. Burroughs|Joseph Cornell"
"John Cowper Powys","Thomas Hardy"
"Gerald Cohen","Gilbert Ryle"
"David Gascoyne","Benjamin Fondane|Lawrence Durrell"
"Elie Rajaonarison","Dox (poet)|Jean-Joseph Rabearivelo|Ny Avana Ramanantoanina"
"Patrick Suppes","Alfred Tarski|Ernest Nagel"
"Albert Jay Nock","Max Hirsch (economist)|Franz Oppenheimer"
"Dennis Cooper","William S. Burroughs"
"Ivan Cankar","France Prešeren|Dragotin Kette"
"Anton Pann","Giulio Cesare Croce"
"Judith Jarvis Thomson","Philippa Foot"
"Randall Collins","Émile Durkheim"
"Theodor W. Adorno","Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|Immanuel Kant|Max Horkheimer|Max Weber|Oswald Spengler|Samuel Beckett|Søren Kierkegaard|Friedrich Hölderlin|Wlad Godzich|Walter Benjamin|Damaris Cudworth Masham"
"S. R. Ranganathan","Suzanne Briet|Paul Otlet"
"Robert B. Parker","Raymond Chandler"
"Frances Fyfield","Ruth Rendell"
"David Sedaris","Dorothy Parker|Flannery O'Connor|Tobias Wolff|Robert Benchley"
"Miroslav Krleža","August Strindberg"
"Honoré de Balzac","Walter Scott"
"Jean Richepin","Leconte de Lisle"
"Louis Lavelle","Léon Brunschvicg|Maine de Biran|Nicolas Malebranche|Félix Ravaisson-Mollien"
"Lesya Ukrainka","Mykhailo Drahomanov"
"Milan Dekleva","Gregor Strniša"
"Ted Honderich","P. F. Strawson"
"John Lachs","George Santayana"
"Jonathan Franzen","Lydia Davis|Don DeLillo|William Gaddis"
"Peter Gizzi","Michael Palmer (poet)"
"Alexander Nehamas","Walter Kaufmann (philosopher)"
"Harry Turtledove","Robert E. Howard|L. Sprague de Camp"
"Ahmad Khani","Nizami Ganjavi|Omar Khayyam"
"Barrie Phillip Nichol","Robin Blaser"
"Dan Zahavi","Edmund Husserl|Alfred Schütz"
"Madeleine L'Engle","George MacDonald"
"Peter Kropotkin","Mikhail Bakunin|Charles Fourier|William Godwin|Louis Blanc|Alexander Herzen"
"Rachel Carson","Frank Edwin Egler|Lucille Farrier Stickel"
"William Faulkner","Herman Melville|George Washington Harris|Joel Chandler Harris|Sherwood Anderson"
"Charles Fourier","Victor Prosper Considerant"
"Paul Churchland","Wilfrid Sellars"
"John Keats","William Hazlitt|Virgil|Yang Mu"
"Dominique Janicaud","Félix Ravaisson-Mollien"
"Philippa Foot","Elizabeth Anscombe"
"Joan Maragall","Jacint Verdaguer|Narcís Oller"
"Stefan George","Leconte de Lisle|Johann Joachim Winckelmann"
"Johann Reuchlin","John Argyropoulos"
"Aleksandr Dugin","Julius Evola|Martin Heidegger"
"David Stove","John Anderson (philosopher)"
"Sholem Aleichem","Nikolai Gogol"
"Enrique Dussel","Emmanuel Levinas"
"Luciano Floridi","Richard Popkin|Paul Otlet|Susan Haack"
"Robert Musil","Carl Stumpf"
"Maxim Gorky","Knut Hamsun|Gleb Uspensky|Alexander Pushkin|Nikolay Dobrolyubov"
"Eric Voegelin","Hans Jonas|Giambattista Vico|Leo Strauss|Jean Bodin|Othmar Spann"
"Alexandre Koyré","Léon Brunschvicg|Edwin Arthur Burtt|Gaston Bachelard"
"Petar II Petrović-Njegoš","Sima Milutinović Sarajlija"
"Luigi Ugolini","Giovanni Pascoli"
"Harry Mulisch","Nicholas of Cusa"
"Christopher Phillips","Justus Buchler"
"Colin William MacLeod","Donald Russell (classicist)"
"Julius Evola","Ernst Jünger|Giambattista Vico|Louis Gabriel Ambroise de Bonald|Joseph de Maistre|René Guénon|Max Stirner|Juan Donoso Cortés"
"Pierre Charron","Michel de Montaigne"
"E. B. White","Henry David Thoreau|Joel Chandler Harris"
"Karl Jaspers","Max Weber|Søren Kierkegaard|Wilhelm Dilthey|Nicholas of Cusa"
"Bernard Cornwell","C. S. Forester"
"Jacob M. Appel","Robert Coover|Mary Gaitskill|Donald Barthelme|Stuart Dybek"
"Tom Robbins","Jack Kerouac|Terence McKenna"
"Manuel Maria Barbosa du Bocage","Luís de Camões"
"Cornel West","Sheldon Wolin|Stanley Cavell|Simone Weil"
"Johan Norberg","Anders Chydenius"
"Muhammad Iqbal","Daagh Dehlvi|Johann Wolfgang von Goethe|Idris Azad|Bayazid Bastami|Thomas Walker Arnold"
"Francis Bacon","Niccolò Machiavelli"
"Judith Moffett","James Merrill"
"Christian Bauman","Robert Stone (novelist)"
"Hannah Arendt","Montesquieu|Edmund Burke|Hans Jonas|Martin Heidegger|Carl Schmitt|Karl Jaspers"
"Stephen Toulmin","Ludwig Wittgenstein"
"Dan Lungu","Mihail Sadoveanu|Mircea Nedelciu"
"Shane Bolks","Julie Garwood"
"William Stafford (poet)","Theodore Roethke"
"Henry Kuttner","Robert E. Howard"
"Christian von Ehrenfels","Franz Brentano"
"Timothy Morton","Graham Harman"
"Lester Bangs","Ken Kesey"
"I. Dragoslav","Ion Creangă"
"S. R. Ekkundi","Sundar V. Nadkarni|R. S. Mugali"
"Claudio Magris","Fulvio Tomizza|Scipio Slataper"
"Cassandra Clare","Yuyi Morales|Lloyd Alexander|Holly Black"
"Richard Ford","Oakley Hall|Richard Yates (novelist)|Raymond Carver|Andre Dubus"
"Tristan Garcia","Quentin Meillassoux|Sandra Laugier|Alain Badiou"
"John Rawls","Immanuel Kant|Jean-Jacques Rousseau|John Stuart Mill|Harold Arthur Prichard|Henry Sidgwick|H. L. A. Hart"
"Edwin Thumboo","Goh Sin Tub"
"Alojz Ihan","Tomaž Šalamun"
"Giambattista Vico","Gottfried Wilhelm Leibniz|Niccolò Machiavelli|Pierre Bayle|Damaris Cudworth Masham|Nicolas Malebranche|Hugo Grotius|John Selden"
"Ioan A. Bassarabescu","Ion Luca Caragiale"
"Michel Valsan","René Guénon"
"C. D. Broad","Alfred North Whitehead"
"Alexis de Tocqueville","Montesquieu|Blaise Pascal|Jean-Jacques Rousseau"
"Eugène Ionesco","Octave Mirbeau|Ion Luca Caragiale|Urmuz"
"Dylan Thomas","John Donne|Arthur Rimbaud|D. H. Lawrence|Alexander Pushkin|Lawrence Durrell"
"Morris Janowitz","Sidney Hook"
"Louis Althusser","Baruch Spinoza|Ferdinand de Saussure|Jacques Lacan|Jean-Jacques Rousseau|Niccolò Machiavelli|Alexandre Kojève|Georges Canguilhem|Gaston Bachelard"
"Theodore Roethke","Dylan Thomas|Christopher Smart|William Carlos Williams|Louise Bogan"
"Bob Black","Charles Fourier|Abbie Hoffman|Peter Kropotkin|Ivan Illich|Herbert Marcuse|Max Stirner"
"Ruth Millikan","Wilfrid Sellars"
"Ljubodrag Simonović","Svetozar Marković"
"Melissus of Samos","Parmenides"
"Zadie Smith","Salman Rushdie|Vladimir Nabokov"
"Dana Gioia","Richard Wilbur"
"Christopher Paolini","Philip Pullman|Eric Rücker Eddison|David Eddings|Tamora Pierce"
"Hugo von Hofmannsthal","Ludwig Ganghofer"
"Mulla Sadra","Ibn Arabi"
"Manfred Frank","Dieter Henrich|Friedrich Schleiermacher"
"Bryan Reynolds","Félix Guattari|Gilles Deleuze"
"Bertrand Russell","David Hume|G. E. Moore|Giuseppe Peano|Gottfried Wilhelm Leibniz|John Stuart Mill|Ludwig Wittgenstein|Richard McKeon|Christoph von Sigwart|Alexius Meinong|Fereydoon Motamed|Gottlob Frege|Alfred North Whitehead|Thomas Paine|Damaris Cudworth Masham|William James|Hermann Lotze"
"Graham Priest","Alexius Meinong"
"Paul Di Filippo","William S. Burroughs"
"Henry Vaughan","Ben Jonson"
"Gabriel Wagner","Baruch Spinoza|Gottfried Wilhelm Leibniz|Damaris Cudworth Masham"
"John Fowles","Thomas Hardy"
"Taras Shevchenko","Alexander Pushkin"
"Alfred, Lord Tennyson","George Crabbe"
"Ivan Goncharov","Alexander Pushkin"
"Michael Connelly","Raymond Chandler|Ross Macdonald"
"Toni Morrison","William Faulkner|Virginia Woolf"
"Carlo Penco","Evandro Agazzi"
"Ivan Illich","Emmanuel Levinas|Jacques Maritain|Jacques Ellul"
"Gourish Kaikini","Yashwant Vithoba Chittal|Sundar V. Nadkarni"
"Arthur Machen","M. P. Shiel"
"Galway Kinnell","Yvan Goll"
"Max Stirner","Georg Wilhelm Friedrich Hegel|Johann Wolfgang von Goethe|Ludwig Feuerbach|Bruno Bauer"
"Paul Redding","Robert B. Pippin"
"Gardner Dozois","Jack Vance"
"Ken MacLeod","Iain Banks|J. G. Ballard"
"G. E. Moore","Ludwig Wittgenstein|Thomas Reid"
"Muhammad al-Tijani","Muhammad Husayn Tabataba'i"
"Wolfi Landstreicher","Diogenes of Sinope|André Breton|Max Stirner|Renzo Novatore"
"Harlan Coben","Robert B. Parker"
"Zechariah Chafee","John Stuart Mill|Roscoe Pound"
"Naguib Mahfouz","Taha Hussein"
"Mihai Eminescu","Alexander Pushkin|Ion Heliade Rădulescu"
"Iztok Osojnik","Srečko Kosovel"
"Carl Stumpf","Bernard Bolzano|Hermann Lotze"
"Bharathidasan","Kalyanasundaranar"
"Aristippus","Socrates"
"Richard L. Tierney","Robert E. Howard"
"Philippe Soupault","Comte de Lautréamont"
"Jeremy Robinson","James Rollins"
"Roderick T. Long","Murray Rothbard|Robert Nozick"
"Walter Jon Williams","Roger Zelazny"
"F. C. S. Schiller","Protagoras|William James"
"Richard K. Morgan","William Gibson"
"Doris Lessing","Stendhal|Olaf Stapledon|D. H. Lawrence|Idries Shah"
"August Strindberg","Otto Weininger"
"N. D. Wilson","Walter Scott"
"Robert E. Howard","Edgar Rice Burroughs|Edward Plunkett, 18th Baron of Dunsany|Talbot Mundy|H. Rider Haggard"
"Yasunari Kawabata","Kyōka Izumi"
"Thomas Ligotti","Peter Wessel Zapffe|Emil Cioran"
"Faiz Ahmad Faiz","Amjad Hyderabadi|Ghalib"
"Ray Bradbury","Edgar Rice Burroughs|Leigh Brackett|Theodore Sturgeon|Yevgeny Zamyatin|Jack Williamson|Sherwood Anderson"
"Alexandre Kojève","Georg Wilhelm Friedrich Hegel|Alexandre Koyré|Leo Strauss|Karl Jaspers|Vladimir Solovyov (philosopher)"
"Park Ji-won","Hong Dae-yong"
"George R. R. Martin","Robert A. Heinlein|Robert E. Howard|Lloyd Alexander|Jack Vance|Roger Zelazny|Bernard Cornwell"
"Alice McDermott","Thomas Williams (writer)"
"Norman Geisler","Étienne Gilson"
"Jack Kerouac","Gary Snyder|Arthur Rimbaud|William S. Burroughs|Mark Van Doren|Louis-Ferdinand Céline|William Gaddis"
"Louisa May Alcott","Friedrich de la Motte Fouqué"
"Dave Barry","Robert Benchley"
"Robert Anton Wilson","Adam Weishaupt|Benjamin Tucker|Brian O'Nolan|Terence McKenna|Alan Watts|Colin Wilson|Max Stirner"
"Cees Nooteboom","J. Slauerhoff"
"Hedley Bull","John Anderson (philosopher)"
"Ale Ahmad Suroor","Muhammad Iqbal"
"Hans Jonas","Alfred North Whitehead|Martin Heidegger"
"Konstantine Gamsakhurdia","Grigol Robakidze"
"Judith Butler","Georg Wilhelm Friedrich Hegel|Emmanuel Levinas|Luce Irigaray|J. L. Austin|Simone de Beauvoir|Jean Laplanche"
"W. P. Kinsella","Richard Brautigan"
"Sinclair Lewis","Richard Harding Davis|Henry David Thoreau|Robert G. Ingersoll|Edmund Wilson"
"Yasuo Yuasa","Tetsuro Watsuji"
"John Dixon (cartoonist)","Stan Pitt"
"John Cheever","William Keepers Maxwell, Jr."
"Friedrich Wilhelm Joseph Schelling","Immanuel Kant|Johann Gottlieb Fichte|Jakob Böhme|Friedrich Heinrich Jacobi|Johann Wolfgang von Goethe|Johann Georg Hamann"
"Georg Trakl","Friedrich Hölderlin"
"Philip Graham (writer)","Donald Barthelme"
"Elias Canetti","Manon Gropius"
"Allen Steele","Robert A. Heinlein"
"Alan Ayckbourn","Harold Pinter"
"Yuan Ch'iung-ch'iung","Eileen Chang"
"Simon Blackburn","David Hume"
"Denis Diderot","Gottfried Wilhelm Leibniz|Laurence Sterne|Niccolò Machiavelli|Pierre Bayle|Guillaume-François Rouelle|Damaris Cudworth Masham|Pierre Louis Maupertuis"
"Richard Price (writer)","Hubert Selby, Jr."
"Oswald Spengler","Heraclitus|Johann Wolfgang von Goethe|Leo Frobenius|Johann Joachim Winckelmann"
"Hossein Nasr","Muhammad Husayn Tabataba'i"
"Dimitris Dimitrakos","Karl Popper"
"Giordano Bruno","Nicholas of Cusa"
"Vernard Eller","Jacques Ellul"
"Michael P. Lynch","Crispin Wright"
"Robert A. Heinlein","Edgar Rice Burroughs|Talbot Mundy"
"Tatsuo Hori","Kiyoshi Jinzai"
"Hans Köchler","Edmund Husserl"
"Petrarch","Ovid"
"Gregor Strniša","Dane Zajc|France Balantič|Veno Taufer"
"Johann Georg Hamann","Martin Knutzen"
"Luís de Sttau Monteiro","Gil Vicente"
"Edmund Burke","Montesquieu|George Berkeley|Jean-Jacques Rousseau|John Locke|John Selden"
"Boris Pahor","Edvard Kocbek|Srečko Kosovel|France Bevk"
"Walter Benjamin","Max Horkheimer|Charles Fourier|Carl Schmitt|György Lukács|Heinrich Rickert"
"Neal Stephenson","William Gibson"
"Vladimir Mayakovsky","Velimir Khlebnikov"
"Max Black","G. E. Moore"
"Paul Watzlawick","Gregory Bateson"
"John McDowell","Immanuel Kant|Ludwig Wittgenstein|Philippa Foot|Wilfrid Sellars|Richard Rorty|Robert B. Pippin|Donald Davidson (philosopher)"
"Catherine Keller (theologian)","Alfred North Whitehead"
"Antonio Labriola","Johann Friedrich Herbart"
"Evangeline Walton","Edward Plunkett, 18th Baron of Dunsany"
"Bekhud Badayuni","Daagh Dehlvi"
"Isaiah Berlin","John Stuart Mill|Giambattista Vico|Alexander Herzen"
"Takis Fotopoulos","Cornelius Castoriadis"
"Imre Lakatos","Karl Popper|Paul Feyerabend"
"Joe Hill (writer)","Richard Matheson"
"Matt Cohen (writer)","George Grant (philosopher)"
"Raymond Geuss","Theodor W. Adorno"
"P. D. James","Ekow Duker"
"Gregory Maguire","T. H. White"
"John Grinder","Gregory Bateson"
"Mario Bunge","Ernest Nagel"
"Antonio Tabucchi","Fernando Pessoa"
"Greg Bear","Poul Anderson"
"Imre Kertész","Tadeusz Borowski"
"H. H. Lewis","William Carlos Williams"
"Jeremy Waldron","Ronald Dworkin"
"Ben Okri","William Blake"
"Thierry Jonquet","Sébastien Japrisot"
"Rudyard Kipling","Robert Louis Stevenson|H. Rider Haggard|Joel Chandler Harris"
"Bruce Kuklick","Edwin Holt"
"Giovanni Gentile","Georg Wilhelm Friedrich Hegel|Benedetto Croce|Giuseppe Mazzini"
"Apuleius","Ovid|Lucian"
"Kevin Brockmeier","Walter Tevis"
"Joe Abercrombie","George R. R. Martin"
"Philip Levine (poet)","John Berryman"
"Louis Michael Seidman","Duncan Kennedy (legal philosopher)"
"John Clare","Robert Burns"
"Irvine Welsh","William S. Burroughs|Edwin Morgan (poet)|Louis-Ferdinand Céline"
"Peter Geach","Ludwig Wittgenstein|J. M. E. McTaggart"
"Jonathan Wolff (philosopher)","Gerald Cohen"
"Mark Leyner","William S. Burroughs"
"A. Merritt","Edgar Rice Burroughs|Gertrude Barrows Bennett"
"Adriana Cavarero","Hannah Arendt"
"Rubén Darío","Leconte de Lisle"
"Johannes Nikolaus Tetens","Gottfried Wilhelm Leibniz|Damaris Cudworth Masham|Christian Wolff (philosopher)"
"Angie Debo","Edward Everett Dale"
"Muhammad Tahir","Haji Dost Muhammad Qandhari|Muhammad Sirajuddin Naqshbandi|Ghulam Ali Dihlawi"
"Jacques Rancière","Étienne Balibar"
"Friedrich Hölderlin","Johann Joachim Winckelmann"
"Russell Banks","Jack Kerouac"
"Antonio Gramsci","Niccolò Machiavelli|Benedetto Croce|Giambattista Vico|Georges Sorel|Antonio Labriola"
"Samuel R. Delany","Roger Zelazny|Theodore Sturgeon"
"Jerzy Grotowski","Pedro Calderón de la Barca"
"David Lewis (philosopher)","P. F. Strawson|Willard Van Orman Quine|Hilary Putnam"
"Nicholas of Cusa","Proclus|Pseudo-Dionysius the Areopagite|John Scotus Eriugena|Meister Eckhart"
"Georges Perec","Julio Cortázar"
"Derek Parfit","Henry Sidgwick"
"Lin Carter","Edgar Rice Burroughs|Robert E. Howard|L. Sprague de Camp"
"George Berkeley","John Locke|Nicolas Malebranche"
"Henri Bergson","Blaise Pascal|Gottfried Wilhelm Leibniz|Plotinus|Émile Durkheim|Herbert Spencer|Damaris Cudworth Masham|Maine de Biran|William James|Félix Ravaisson-Mollien"
"Mark Twain","Miguel de Cervantes|George MacDonald|George Washington Harris|Robert G. Ingersoll|Joel Chandler Harris"
"Stephen Walt","Kenneth Waltz"
"Andrei Codrescu","Benjamin Fondane|Urmuz"
"Étienne Bonnot de Condillac","Denis Diderot|John Locke"
"Robert Creeley","William Carlos Williams"
"Giovanni Pico della Mirandola","Nicholas of Cusa"
"Christian Kracht","Bret Easton Ellis"
"K. J. Stevens","Raymond Carver"
"Jovan Rajić","Gavril Stefanović Venclović|Zaharije Orfelin"
"Jaegwon Kim","Carl Gustav Hempel"
"Susan Haack","Frank P. Ramsey"
"Emil Cioran","Giacomo Leopardi|Joseph de Maistre"
"Roland Barthes","Ferdinand de Saussure|Roman Jakobson"
"Jimmy Perry","Will Hay"
"Richard Webster (British author)","Gilbert Ryle"
"Bernard Williams","Philippa Foot|R. M. Hare|Stanley Cavell"
"Alan Sillitoe","Sid Chaplin"
"Michael Albert","Noam Chomsky"
"Roman Ingarden","Edmund Husserl"
"Hans Joas","Cornelius Castoriadis"
"Riza Talabani","Nalî"
"Gillian Rose","Georg Wilhelm Friedrich Hegel"
"Paul Wheelahan","Stan Pitt"
"Charles Dickens","Henry Fielding|Miguel de Cervantes|Sheridan Le Fanu|Walter Scott|Tobias Smollett"
"Al. T. Stamatiad","Ion Minulescu"
"Robert E. Ornstein","Idries Shah"
